"DATA_YEAR","ARRESTEE_ID","INCIDENT_ID","ARRESTEE_SEQ_NUM","ARREST_DATE","ARREST_TYPE_ID","MULTIPLE_INDICATOR","OFFENSE_TYPE_ID","AGE_ID","AGE_NUM","SEX_CODE","RACE_ID","ETHNICITY_ID","RESIDENT_CODE","UNDER_18_DISPOSITION_CODE","CLEARANCE_IND","AGE_RANGE_LOW_NUM","AGE_RANGE_HIGH_NUM"
2019,33686693,112520047,1,08-JAN-19,1,"C",51,5,43,"F",1,3,"R","","",43,0
2019,33686757,112526521,1,23-MAY-19,2,"N",27,5,18,"M",1,2,"R","","",18,0
2019,33683241,112520119,1,04-MAY-19,1,"C",39,5,38,"M",1,3,"","","",38,0
2019,33686771,112524005,1,23-MAY-19,2,"N",51,5,19,"M",0,1,"R","","",19,0
2019,33683250,112526570,1,31-MAY-19,2,"C",51,5,14,"M",1,2,"R","H","",14,0
2019,33388016,111862582,1,21-APR-19,2,"N",23,5,20,"F",2,3,"N","","",20,0
2019,33391694,111862582,2,21-APR-19,2,"N",23,5,21,"F",2,3,"R","","",21,0
2019,33388017,111859061,1,19-APR-19,3,"N",23,5,30,"M",1,3,"N","","",30,0
2019,33391714,111862689,1,23-APR-19,1,"N",23,5,56,"M",1,3,"R","","",56,0
2019,33395432,111854996,1,31-JAN-19,2,"N",23,5,35,"M",1,3,"R","","",35,0
2019,33395457,111859277,1,28-APR-19,3,"N",27,5,31,"F",1,3,"N","","",31,0
2019,33391770,111855066,1,05-FEB-19,2,"N",23,5,30,"M",1,3,"N","","",30,0
2019,33391775,111855073,1,29-JAN-19,3,"N",51,5,29,"M",1,1,"R","","",29,0
2019,33395496,111855077,1,05-MAR-19,2,"N",23,5,39,"M",1,3,"N","","",39,0
2019,35932516,117886718,1,06-OCT-19,1,"N",51,5,25,"M",4,2,"R","","",25,0
2019,35935804,117886740,1,16-SEP-19,1,"C",35,5,57,"M",1,2,"R","","",57,0
2019,35935939,117887117,1,08-OCT-19,2,"N",35,5,59,"M",1,2,"","","",59,0
2019,35932712,117887138,1,10-OCT-19,1,"N",51,5,19,"F",2,2,"","","",19,0
2019,35941150,117896424,1,13-OCT-19,1,"C",51,5,28,"M",1,3,"","","",28,0
2019,35935946,117892034,1,08-APR-19,2,"M",49,5,26,"M",2,2,"","","",26,0
2019,35935948,117887154,1,03-MAY-19,2,"N",45,5,42,"M",1,2,"","","",42,0
